"Report.Number","Occurred.Date","Occurred.Time","Reported.Date","Reported.Time","Crime.Subcategory","Primary.Offense.Description","Precinct","Sector","Neighborhood"
20180000172785,2018-05-14,2017,2018-05-14,2038,"TRESPASS","TRESPASS","WEST","Q","QUEEN ANNE"
20180000175590,2018-05-14,2000,2018-05-16,1854,"BURGLARY-RESIDENTIAL-SECURE PARKING","BURGLARY-SECURE PARKING-RES","NORTH","N","BITTERLAKE"
20180000173911,2018-05-14,2000,2018-05-15,1901,"CAR PROWL","THEFT-CARPROWL","NORTH","J","PHINNEY RIDGE"
20180000173537,2018-05-14,2000,2018-05-15,1349,"BURGLARY-COMMERCIAL","BURGLARY-FORCE-NONRES","NORTH","B","PHINNEY RIDGE"
20180000173739,2018-05-14,2000,2018-05-15,1344,"BURGLARY-COMMERCIAL-SECURE PARKING","BURGLARY-SECURE PARKING-NONRES","WEST","D","SLU/CASCADE"
20180000172652,2018-05-14,1958,2018-05-14,1958,"BURGLARY-RESIDENTIAL-SECURE PARKING","BURGLARY-SECURE PARKING-RES","EAST","E","FIRST HILL"
20180000172747,2018-05-14,1940,2018-05-14,1940,"WEAPON","WEAPON-DISCHARGE","SOUTH","S","RAINIER VIEW"
20180000173239,2018-05-14,1930,2018-05-15,756,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","SOUTHWEST","F","ROXHILL/WESTWOOD/ARBOR HEIGHTS"
20180000173335,2018-05-14,1930,2018-05-15,833,"BURGLARY-RESIDENTIAL-SECURE PARKING","BURGLARY-SECURE PARKING-RES","WEST","M","SLU/CASCADE"
20180000172738,2018-05-14,1929,2018-05-14,1929,"TRESPASS","TRESPASS","WEST","D","BELLTOWN"
20180000172731,2018-05-14,1920,2018-05-14,1920,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","NORTH","N","NORTHGATE"
20180000172720,2018-05-14,1900,2018-05-14,2007,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","SOUTHWEST","F","SOUTH DELRIDGE"
20180000174952,2018-05-14,1900,2018-05-16,1546,"THEFT-BUILDING","THEFT-BUILDING","NORTH","N","NORTHGATE"
20180000172682,2018-05-14,1839,2018-05-14,1839,"ROBBERY-COMMERCIAL","ROBBERY-BUSINESS-BODYFORCE","EAST","C","CAPITOL HILL"
20180000172658,2018-05-14,1830,2018-05-14,1830,"DUI","DUI-LIQUOR","NORTH","N","GREENWOOD"
20180000173160,2018-05-14,1830,2018-05-15,622,"CAR PROWL","THEFT-CARPROWL","EAST","E","CAPITOL HILL"
20180000173502,2018-05-14,1830,2018-05-15,1048,"BURGLARY-RESIDENTIAL-SECURE PARKING","BURGLARY-SECURE PARKING-RES","SOUTHWEST","W","ALASKA JUNCTION"
20180000172675,2018-05-14,1830,2018-05-14,1949,"ROBBERY-COMMERCIAL","ROBBERY-BUSINESS-WEAPON","NORTH","L","LAKECITY"
20180000172669,2018-05-14,1820,2018-05-14,2030,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","WEST","K","PIONEER SQUARE"
20180000172639,2018-05-14,1807,2018-05-14,1807,"THEFT-ALL OTHER","THEFT-OTH","SOUTH","R","COLUMBIA CITY"
20180000172640,2018-05-14,1807,2018-05-14,1906,"TRESPASS","TRESPASS","SOUTHWEST","F","HIGHLAND PARK"
20180000172632,2018-05-14,1804,2018-05-14,2048,"AGGRAVATED ASSAULT","ASSLT-AGG-WEAPON","WEST","M","DOWNTOWN COMMERCIAL"
20180000173838,2018-05-14,1800,2018-05-15,1448,"THEFT-ALL OTHER","THEFT-OTH","NORTH","B","BALLARD SOUTH"
20180000173401,2018-05-14,1800,2018-05-15,1037,"BURGLARY-COMMERCIAL","BURGLARY-NOFORCE-NONRES","EAST","E","FIRST HILL"
20180000173278,2018-05-14,1800,2018-05-15,900,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","EAST","G","JUDKINS PARK/NORTH BEACON HILL"
20180000172729,2018-05-14,1800,2018-05-14,2131,"CAR PROWL","THEFT-CARPROWL","WEST","Q","QUEEN ANNE"
20180000175359,2018-05-14,1800,2018-05-16,1414,"CAR PROWL","THEFT-LICENSE PLATE","WEST","K","DOWNTOWN COMMERCIAL"
20180000172619,2018-05-14,1750,2018-05-14,1914,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","EAST","E","CAPITOL HILL"
20180000172604,2018-05-14,1738,2018-05-14,1838,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","NORTH","U","ROOSEVELT/RAVENNA"
20180000175150,2018-05-14,1730,2018-05-16,1546,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","WEST","K","CHINATOWN/INTERNATIONAL DISTRICT"
20180000172755,2018-05-14,1730,2018-05-14,2124,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","NORTH","J","GREENWOOD"
20180000172585,2018-05-14,1726,2018-05-14,1726,"DUI","DUI-DRUGS","SOUTH","O","GEORGETOWN"
20180000172572,2018-05-14,1713,2018-05-14,1713,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","EAST","E","CAPITOL HILL"
20180000172734,2018-05-14,1700,2018-05-14,1922,"FAMILY OFFENSE-NONVIOLENT","CHILD-OTHER","SOUTHWEST","F","HIGH POINT"
20180000175834,2018-05-14,1700,2018-05-16,1944,"RAPE","RAPE-STRONGARM","SOUTH","S","NEW HOLLY"
20180000174069,2018-05-14,1700,2018-05-15,1744,"CAR PROWL","THEFT-CARPROWL","WEST","Q","MAGNOLIA"
20180000173458,2018-05-14,1700,2018-05-15,1414,"CAR PROWL","THEFT-AUTOACC","SOUTH","O","SODO"
20180000174656,2018-05-14,1700,2018-05-16,739,"BURGLARY-RESIDENTIAL-SECURE PARKING","BURGLARY-SECURE PARKING-RES","WEST","D","QUEEN ANNE"
20180000172547,2018-05-14,1653,2018-05-14,1653,"BURGLARY-RESIDENTIAL","BURGLARY-FORCE-RES","NORTH","U","UNIVERSITY"
20180000172719,2018-05-14,1652,2018-05-18,1930,"CAR PROWL","THEFT-LICENSE PLATE","NORTH","J","ROOSEVELT/RAVENNA"
20180000172531,2018-05-14,1647,2018-05-14,1804,"TRESPASS","TRESPASS","SOUTHWEST","F","SOUTH DELRIDGE"
20180000172490,2018-05-14,1617,2018-05-14,1705,"NARCOTIC","NARC-POSSESS-COCAINE","WEST","K","DOWNTOWN COMMERCIAL"
20180000904235,2018-05-14,1607,2018-05-14,1650,"THEFT-ALL OTHER","THEFT-OTH","SOUTH","S","RAINIER BEACH"
20180000175184,2018-05-14,1600,2018-05-16,1253,"ROBBERY-STREET","ROBBERY-STREET-BODYFORCE","WEST","K","DOWNTOWN COMMERCIAL"
20180000172444,2018-05-14,1553,2018-05-14,1553,"TRESPASS","TRESPASS","EAST","G","CENTRAL AREA/SQUIRE PARK"
20180000904250,2018-05-14,1545,2018-05-14,2139,"THEFT-ALL OTHER","THEFT-OTH","NORTH","U","SANDPOINT"
20180000180434,2018-05-14,1530,2018-05-20,26,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","WEST","Q","QUEEN ANNE"
20180000172518,2018-05-14,1530,2018-05-14,1814,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","SOUTH","S","MID BEACON HILL"
20180000172358,2018-05-14,1504,2018-05-14,1504,"TRESPASS","TRESPASS","NORTH","N","GREENWOOD"
20180000172340,2018-05-14,1449,2018-05-14,1449,"SEX OFFENSE-OTHER","SEXOFF-INDECENT LIBERTIES","SOUTH","R","HILLMAN CITY"
20180000172331,2018-05-14,1441,2018-05-14,1441,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","NORTH","N","BITTERLAKE"
20180000170945,2018-05-14,1419,2018-05-14,1505,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","WEST","K","CHINATOWN/INTERNATIONAL DISTRICT"
20180000172274,2018-05-14,1400,2018-05-14,1539,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","WEST","M","DOWNTOWN COMMERCIAL"
20180000904273,2018-05-14,1400,2018-05-15,1407,"THEFT-ALL OTHER","THEFT-OTH","SOUTHWEST","W","MORGAN"
20180000224642,2018-05-14,1400,2018-06-20,1153,"BURGLARY-RESIDENTIAL","BURGLARY-NOFORCE-RES","WEST","Q","QUEEN ANNE"
20180000172272,2018-05-14,1354,2018-05-15,1407,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","NORTH","J","ROOSEVELT/RAVENNA"
20180000172183,2018-05-14,1325,2018-05-14,1331,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","WEST","K","CHINATOWN/INTERNATIONAL DISTRICT"
20180000172546,2018-05-14,1300,2018-05-14,1655,"BURGLARY-RESIDENTIAL-SECURE PARKING","BURGLARY-SECURE PARKING-RES","SOUTHWEST","W","NORTH ADMIRAL"
20180000904251,2018-05-14,1300,2018-05-14,2213,"CAR PROWL","THEFT-CARPROWL","WEST","Q","SLU/CASCADE"
20180000172187,2018-05-14,1253,2018-05-14,1253,"BURGLARY-RESIDENTIAL-SECURE PARKING","BURGLARY-SECURE PARKING-RES","WEST","D","SLU/CASCADE"
20180000172137,2018-05-14,1216,2018-05-14,1216,"CAR PROWL","THEFT-CARPROWL","WEST","M","BELLTOWN"
20180000172128,2018-05-14,1215,2018-05-14,1311,"BURGLARY-RESIDENTIAL","BURGLARY-FORCE-RES","NORTH","U","ROOSEVELT/RAVENNA"
20180000172126,2018-05-14,1213,2018-05-14,1213,"TRESPASS","TRESPASS","SOUTH","S","RAINIER BEACH"
20180000175065,2018-05-14,1200,2018-05-16,1137,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","SOUTH","R","NORTH BEACON HILL"
20180000904321,2018-05-14,1200,2018-05-16,1852,"CAR PROWL","THEFT-CARPROWL","WEST","M","BELLTOWN"
20180000178889,2018-05-14,1200,2018-05-18,2014,"BURGLARY-RESIDENTIAL","BURGLARY-NOFORCE-RES","EAST","C","MONTLAKE/PORTAGE BAY"
20180000173897,2018-05-14,1200,2018-05-18,1500,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","WEST","M","DOWNTOWN COMMERCIAL"
20180000172080,2018-05-14,1130,2018-05-14,1130,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","NORTH","N","NORTHGATE"
